OBJECTID,Type,Provider,Latitude,Longitude,X,Y,Location_T,City,Borough Name
2246,Free,Transit Wireless,40.714565,-73.944053,999759.6402,199616.7596,Subway Station,Brooklyn,Brooklyn
2247,Free,Transit Wireless,40.731352,-73.954449,996874.4787,205731.1109,Subway Station,Brooklyn,Brooklyn
2248,Free,Transit Wireless,40.724635,-73.951277,997754.9608,203284.3724,Subway Station,Brooklyn,Brooklyn
2249,Free,Transit Wireless,40.724329,-73.997702,984886.9587,203169.1396,Subway Station,New York,Manhattan
2250,Free,Transit Wireless,40.733422,-74.002906,983444.6259,206482.0077,Subway Station,New York,Manhattan
2251,Free,Transit Wireless,40.728251,-74.005367,982762.4646,204598.083,Subway Station,New York,Manhattan
2252,Free,Transit Wireless,40.730328,-73.992629,986292.9073,205354.8393,Subway Station,New York,Manhattan
2253,Free,Transit Wireless,40.719527,-74.001775,983757.9708,201419.6198,Subway Station,New York,Manhattan
2254,Free,Transit Wireless,40.718383,-74.00046,984122.4861,201002.8208,Subway Station,New York,Manhattan
2255,Free,Transit Wireless,40.713282,-74.006978,982315.5199,199144.4479,Subway Station,New York,Manhattan
2256,Free,Transit Wireless,40.72028,-73.993915,985936.7407,201694.0143,Subway Station,New York,Manhattan
2257,Free,Transit Wireless,40.718092,-73.999892,984279.9382,200896.8004,Subway Station,New York,Manhattan
2258,Free,Transit Wireless,40.732849,-73.986122,988096.2072,206273.537,Subway Station,New York,Manhattan
2259,Free,Transit Wireless,40.730953,-73.981628,989341.8382,205582.9944,Subway Station,New York,Manhattan
2260,Free,Transit Wireless,40.732338,-74.000495,984112.8126,206087.0597,Subway Station,New York,Manhattan
2261,Free,Transit Wireless,40.726227,-74.003739,983213.6549,203860.6537,Subway Station,New York,Manhattan
2262,Free,Transit Wireless,40.720824,-74.005229,982800.5514,201892.195,Subway Station,New York,Manhattan
2263,Free,Transit Wireless,40.714111,-74.008585,981870.0481,199446.5172,Subway Station,New York,Manhattan
2264,Free,Transit Wireless,40.712582,-74.009781,981538.428,198889.4907,Subway Station,New York,Manhattan
2265,Free,Transit Wireless,40.718267,-73.993753,985981.6986,200960.6198,Subway Station,New York,Manhattan
2266,Free,Transit Wireless,40.722854,-74.006277,982510.1048,202631.8054,Subway Station,New York,Manhattan
2267,Free,Transit Wireless,40.719318,-74.006886,982341.1974,201343.5449,Subway Station,New York,Manhattan
2268,Free,Transit Wireless,40.715478,-74.009266,981681.3122,199944.5762,Subway Station,New York,Manhattan
2269,Free,Transit Wireless,40.707513,-74.013783,980428.669,197042.8504,Subway Station,New York,Manhattan
2270,Free,Transit Wireless,40.713051,-74.008811,981807.3569,199060.3332,Subway Station,New York,Manhattan
2271,Free,Transit Wireless,40.706821,-74.0091,981727.0027,196790.5641,Subway Station,New York,Manhattan
2272,Free,Transit Wireless,40.722301,-73.997141,985042.4807,202430.2812,Subway Station,New York,Manhattan
1623,Limited Free,ALTICEUSA,40.828468,-73.9227,1005642.502,241119.9154,Outdoor,Bronx,Bronx
1624,Limited Free,ALTICEUSA,40.828057,-73.923075,1005538.854,240970.0821,Outdoor,Bronx,Bronx
1625,Limited Free,ALTICEUSA,40.827831,-73.922677,1005649.072,240887.8388,Outdoor,Bronx,Bronx
1626,Limited Free,ALTICEUSA,40.827441,-73.923008,1005557.593,240745.6669,Outdoor,Bronx,Bronx
1627,Limited Free,ALTICEUSA,40.827563,-73.923631,1005385.139,240789.965,Outdoor,Bronx,Bronx
1628,Limited Free,SPECTRUM,40.771229,-73.80905,1037140.163,220313.9538,Outdoor TWC Aerial,Queens,Queens
1629,Limited Free,SPECTRUM,40.769751,-73.808748,1037224.988,219775.653,Outdoor TWC Aerial,Queens,Queens
1630,Limited Free,SPECTRUM,40.769652,-73.807508,1037568.534,219740.3365,Outdoor TWC Aerial,Queens,Queens
1631,Limited Free,SPECTRUM,40.769536,-73.805968,1037995.193,219699.015,Outdoor TWC Aerial,Queens,Queens
1632,Limited Free,SPECTRUM,40.770532,-73.805507,1038122.081,220062.1731,Outdoor TWC Aerial,Queens,Queens
1633,Limited Free,SPECTRUM,40.754447,-73.984222,988621.3639,214142.4661,Outdoor,New York,Manhattan
